ordering,code,name,category_code,short_name,sample_type,home_collection_possible,tat_hours_default,is_active
1030,LAB-BLOOD-CULTURE,Blood Culture,MICRO,Blood Culture,Blood,true,72,true
1040,LAB-SPUTUM-CULTURE,Sputum Culture,MICRO,Sputum Culture,Sputum,true,72,true
1050,LAB-STOOL-CULTURE,Stool Culture,MICRO,Stool Culture,Stool,true,72,true
1060,LAB-VAGINAL-CULTURE,Vaginal Swab Culture,MICRO,Vaginal Culture,Swab,false,48,true
1070,LAB-THROAT-CULTURE,Throat Swab Culture,MICRO,Throat Culture,Swab,false,48,true

1080,LAB-BIOPSY,Histo Biopsy,HISTO,Biopsy,Tissue,false,72,true
1090,LAB-PAPSMEAR,Pap Smear,CYTO,Pap Smear,Cervical Sample,false,48,true
1100,LAB-HPV,HPV DNA Test,CYTO,HPV DNA,Cervical Sample,false,72,true
1110,LAB-FNAC,FNAC,CYTO,FNAC,Tissue,false,48,true

1120,LAB-CA125,CA125,TUMOR,CA125,Blood,true,48,true
1130,LAB-CEA,CEA,TUMOR,CEA,Blood,true,48,true
1140,LAB-AFP,Alpha Fetoprotein,TUMOR,AFP,Blood,true,48,true
1150,LAB-PSA,Prostate Specific Antigen,TUMOR,PSA,Blood,true,48,true
1160,LAB-CA199,CA19-9,TUMOR,CA19-9,Blood,true,48,true
1170,LAB-CA153,CA15-3,TUMOR,CA15-3,Blood,true,48,true
1180,LAB-B2MICRO,Beta 2 Microglobulin,TUMOR,Beta2Microglobulin,Blood,true,48,true

1190,LAB-PREEMPLOYMENT,Pre Employment Health Panel,WELLNESS,Pre Employment,Blood,true,48,true
1200,LAB-FULLBODY,Comprehensive Full Body Panel,WELLNESS,Full Body Panel,Blood,true,48,true
1210,LAB-DIABETIC-PANEL,Comprehensive Diabetes Panel,WELLNESS,Diabetes Panel,Blood,true,48,true
1220,LAB-CARDIAC-PANEL,Comprehensive Cardiac Risk Panel,WELLNESS,Cardiac Panel,Blood,true,48,true
1230,LAB-WOMEN-WELLNESS,Women Wellness Panel,WELLNESS,Women Wellness,Blood,true,48,true
1240,LAB-MEN-WELLNESS,Men Wellness Panel,WELLNESS,Men Wellness,Blood,true,48,true
1250,LAB-SENIOR-WELLNESS,Senior Citizen Wellness Panel,WELLNESS,Senior Wellness,Blood,true,48,true
